,Node1,Node2,Distance,Trail,Color
0,rs_end_north,v_rs,913.1,rs,red
1,v_rs,b_rs,644.86,rs,red
2,b_rs,g_rs,301.57,rs,red
3,g_rs,w_rs,509.82,rs,red
4,w_rs,o_rs,629.56,rs,red
5,o_rs,y_rs,371.25,rs,red
6,y_rs,rs_end_south,1042.66,rs,red
7,rc_end_north,v_rc,1537.09,rc,red
8,v_rc,b_rc,147.57,rc,red
9,b_rc,g_rc,425.97,rc,red
10,g_rc,o_rc,411.9,rc,red
11,o_rc,w_rc,581.44,rc,red
12,w_rc,y_rc,444.43,rc,red
13,y_rc,rc_end_south,904.36,rc,red
14,rt_end_north,v_rt,850.65,rt,red
15,v_rt,tt_rt,470.16,rt,red
16,tt_rt,b_rt,105.28,rt,red
17,b_rt,g_rt,293.31,rt,red
18,g_rt,o_rt,153.46,rt,red
19,o_rt,w_rt,183.98,rt,red
20,w_rt,y_rt,535.06,rt,red
21,y_rt,rt_end_south,508.53,rt,red
22,rh_end_north,v_rh,709.17,rh,red
23,v_rh,b_rh,332.93,rh,red
24,b_rh,rh_end_tt_1,174.93,rh,red
25,rh_end_tt_2,o_rh,218.14,rh,red
26,o_rh,rh_end_tt_3,102.53,rh,red
27,rh_end_tt_4,y_rh,256.38,rh,red
28,y_rh,rh_end_south,213.48,rh,red
29,rd_end_north,v_rd,417.65,rd,red
30,v_rd,b_rd,177.62,rd,red
31,b_rd,rd_end_south,365.29,rd,red
32,v_end_west,b_v,244.25,v,violet
33,b_v,v_rd,742.95,v,violet
34,v_rd,v_rh,1077.65,v,violet
35,v_rh,v_rt,1322.07,v,violet
36,v_rt,v_rc,1514.34,v,violet
37,v_rc,v_bv,814.56,v,violet
38,v_bv,v_rs,1232.89,v,violet
39,v_rs,v_end_east,1613.19,v,violet
40,bstub_w,b_v,369.73,b,blue
41,b_end_west,b_v,420.49,b,blue
42,b_v,rd_end_south,201.63,b,blue
43,rd_end_south_dupe,b_rd_dupe,365.29,b,blue
44,rd_end_south,rd_end_south_dupe,0.0,hack,black
45,b_rd,b_rd_dupe,0.0,hack,black
46,b_rd,b_rh,1301.1,b,blue
47,b_rh,b_tt_1,174.22,b,blue
48,b_tt_1,b_bw,459.34,b,blue
49,b_bw,b_rt,374.68,b,blue
50,b_rt,b_tt_2,90.85,b,blue
51,b_tt_2,b_tt_3,495.21,b,blue
52,b_tt_3,b_rc,1110.19,b,blue
53,b_rc,b_bv,883.92,b,blue
54,b_bv,b_rs,767.83,b,blue
55,b_rs,b_g,217.04,b,blue
56,b_g,b_w,503.37,b,blue
57,b_w,b_gy2,910.97,b,blue
58,b_gy2,b_o,141.91,b,blue
59,b_o,b_y,337.77,b,blue
60,b_y,dumpyard,3009.14,b,blue
61,bstub_w,w_tt,1076.89,w,gray
62,w_tt,w_bw,344.21,w,gray
63,w_bw,g_w,283.04,w,gray
64,g_w,o_w_1,513.82,w,gray
65,o_w_1,w_rt,221.92,w,gray
66,w_rt,w_gy1,764.73,w,gray
67,w_gy1,w_rc,936.67,w,gray
68,w_rc,o_w_2,604.5,w,gray
69,o_w_2,w_rs,682.04,w,gray
70,w_rs,b_w,132.98,w,gray
71,b_w,w_gy2,903.21,w,gray
72,w_gy2,park_east,394.47,w,gray
73,g_w,g_rt,850.72,g,green
74,g_rt,g_gy1,795.0,g,green
75,g_gy1,g_rc,1135.34,g,green
76,g_rc,g_rs,971.31,g,green
77,g_rs,b_g,143.56,g,green
78,b_g,g_gy2,832.21,g,green
79,g_gy2,park_east,454.71,g,green
80,o_y_tt_end_west,o_rh,817.47,o,orange
81,o_rh,o_tt,238.23,o,orange
82,o_tt,o_w_1,795.53,o,orange
83,o_w_1,o_rt,290.51,o,orange
84,o_w_1,o_gy1,993.01,o,orange
85,o_gy1,o_rc,1153.9,o,orange
86,o_rc,o_w_2,305.32,o,orange
87,o_w_2,o_rs,371.2,o,orange
88,o_rs,o_gy2,830.13,o,orange
89,o_gy2,b_o,190.0,o,orange
90,b_o,park_east,377.86,o,orange
91,o_y_tt_end_west,y_rh,782.15,y,yellow
92,y_rh,y_rt,933.47,y,yellow
93,y_rt,y_gy1,879.04,y,yellow
94,y_gy1,y_rc,536.28,y,yellow
95,y_rc,y_rs,1310.43,y,yellow
96,y_rs,y_gy2,433.62,y,yellow
97,y_gy2,b_y,645.32,y,yellow
98,b_y,park_east,458.52,y,yellow
99,o_y_tt_end_west,nature_end_west,450.95,tt,black
100,nature_end_west,rh_end_tt_4,390.24,tt,black
101,rh_end_tt_4,rh_end_tt_3,396.99,tt,black
102,rh_end_tt_3,o_tt,273.19,tt,black
103,o_tt,rh_end_tt_2,412.42,tt,black
104,rh_end_tt_2,w_tt,251.12,tt,black
105,w_tt,rh_end_tt_1,269.65,tt,black
106,rh_end_tt_1,b_tt_1,51.66,tt,black
107,b_tt_1,tt_rt,874.39,tt,black
108,tt_rt,b_tt_2,81.13,tt,black
109,b_tt_2_dupe,b_tt_3_dupe,495.21,tt,black
110,b_tt_3,b_tt_3_dupe,0.0,hack,black
111,b_tt_2,b_tt_2_dupe,0.0,hack,black
112,nature_end_west,y_rh,342.65,nature,forestgreen
113,o_tt,y_rt,913.73,nature,forestgreen
114,b_bw,w_bw,422.43,bw,lightblue
115,g_gy1,o_gy1,345.75,gy1,yellowgreen
116,o_gy1,w_gy1,460.03,gy1,yellowgreen
117,w_gy1,y_gy1,394.42,gy1,yellowgreen
118,v_bv,b_bv,214.62,bv,purple
119,g_gy2,w_gy2,156.7,gy2,yellowgreen
120,w_gy2,b_gy2,84.68,gy2,yellowgreen
121,b_gy2,o_gy2,222.61,gy2,yellowgreen
122,o_gy2,y_gy2,393.43,gy2,yellowgreen
